GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
0100000US,,United States,1600000US0650076,0650076,United States - California - Murrieta city,Murrieta city,0.0,0.4
0100000US,,United States,1600000US0650258,0650258,United States - California - Napa city,Napa city,1.4,1.0
0100000US,,United States,1600000US0651182,0651182,United States - California - Newport Beach city,Newport Beach city,2.1,1.3
0100000US,,United States,1600000US0652526,0652526,United States - California - Norwalk city,Norwalk city,2.9,1.7
0100000US,,United States,1600000US0653000,0653000,United States - California - Oakland city,Oakland city,19.0,1.7
0100000US,,United States,1600000US0653322,0653322,United States - California - Oceanside city,Oceanside city,2.9,1.2
0100000US,,United States,1600000US0653896,0653896,United States - California - Ontario city,Ontario city,1.7,1.0
0100000US,,United States,1600000US0653980,0653980,United States - California - Orange city,Orange city,2.7,1.8
0100000US,,United States,1600000US0654652,0654652,United States - California - Oxnard city,Oxnard city,1.6,0.6
0100000US,,United States,1600000US0655156,0655156,United States - California - Palmdale city,Palmdale city,2.5,1.4
0100000US,,United States,1600000US0655282,0655282,United States - California - Palo Alto city,Palo Alto city,6.9,2.6
0100000US,,United States,1600000US0656000,0656000,United States - California - Pasadena city,Pasadena city,6.8,2.5
0100000US,,United States,1600000US0656700,0656700,United States - California - Perris city,Perris city,4.0,3.3
0100000US,,United States,1600000US0657456,0657456,United States - California - Pittsburg city,Pittsburg city,8.2,2.7
0100000US,,United States,1600000US0657792,0657792,United States - California - Pleasanton city,Pleasanton city,7.3,3.3
0100000US,,United States,1600000US0658072,0658072,United States - California - Pomona city,Pomona city,4.3,1.7
0100000US,,United States,1600000US0659444,0659444,United States - California - Rancho Cordova city,Rancho Cordova city,5.9,2.5
0100000US,,United States,1600000US0659451,0659451,United States - California - Rancho Cucamonga city,Rancho Cucamonga city,1.3,1.1
0100000US,,United States,1600000US0659920,0659920,United States - California - Redding city,Redding city,0.7,0.6
0100000US,,United States,1600000US0659962,0659962,United States - California - Redlands city,Redlands city,2.0,1.5
0100000US,,United States,1600000US0660018,0660018,United States - California - Redondo Beach city,Redondo Beach city,1.2,1.5
0100000US,,United States,1600000US0660102,0660102,United States - California - Redwood City city,Redwood City city,4.0,1.7
0100000US,,United States,1600000US0660466,0660466,United States - California - Rialto city,Rialto city,1.8,1.4
0100000US,,United States,1600000US0660620,0660620,United States - California - Richmond city,Richmond city,11.6,2.6
0100000US,,United States,1600000US0662000,0662000,United States - California - Riverside city,Riverside city,3.2,1.2
0100000US,,United States,1600000US0662938,0662938,United States - California - Roseville city,Roseville city,2.1,1.3
0100000US,,United States,1600000US0664000,0664000,United States - California - Sacramento city,Sacramento city,4.4,0.9
0100000US,,United States,1600000US0664224,0664224,United States - California - Salinas city,Salinas city,0.4,0.4
0100000US,,United States,1600000US0665000,0665000,United States - California - San Bernardino city,San Bernardino city,2.3,1.0
0100000US,,United States,1600000US0665042,0665042,United States - California - San Buenaventura (Ventura) city,San Buenaventura (Ventura) city,1.7,1.1
0100000US,,United States,1600000US0666000,0666000,United States - California - San Diego city,San Diego city,4.3,0.4
0100000US,,United States,1600000US0667000,0667000,United States - California - San Francisco city,San Francisco city,31.6,1.4
0100000US,,United States,1600000US0668000,0668000,United States - California - San Jose city,San Jose city,3.5,0.7
0100000US,,United States,1600000US0668084,0668084,United States - California - San Leandro city,San Leandro city,11.3,2.9
0100000US,,United States,1600000US0668196,0668196,United States - California - San Marcos city,San Marcos city,1.6,1.0
0100000US,,United States,1600000US0668252,0668252,United States - California - San Mateo city,San Mateo city,8.0,2.3
0100000US,,United States,1600000US0668378,0668378,United States - California - San Ramon city,San Ramon city,5.6,3.5
0100000US,,United States,1600000US0669000,0669000,United States - California - Santa Ana city,Santa Ana city,6.7,1.2
0100000US,,United States,1600000US0669070,0669070,United States - California - Santa Barbara city,Santa Barbara city,7.4,2.8
0100000US,,United States,1600000US0669084,0669084,United States - California - Santa Clara city,Santa Clara city,3.7,1.3
0100000US,,United States,1600000US0669088,0669088,United States - California - Santa Clarita city,Santa Clarita city,4.2,2.5
0100000US,,United States,1600000US0669196,0669196,United States - California - Santa Maria city,Santa Maria city,2.4,1.4
0100000US,,United States,1600000US0670000,0670000,United States - California - Santa Monica city,Santa Monica city,3.9,1.4
0100000US,,United States,1600000US0670098,0670098,United States - California - Santa Rosa city,Santa Rosa city,1.6,0.9
0100000US,,United States,1600000US0672016,0672016,United States - California - Simi Valley city,Simi Valley city,1.4,0.7
0100000US,,United States,1600000US0673080,0673080,United States - California - South Gate city,South Gate city,6.7,2.6
0100000US,,United States,1600000US0675000,0675000,United States - California - Stockton city,Stockton city,1.7,0.9
0100000US,,United States,1600000US0677000,0677000,United States - California - Sunnyvale city,Sunnyvale city,3.6,1.5
0100000US,,United States,1600000US0678120,0678120,United States - California - Temecula city,Temecula city,1.5,2.3
0100000US,,United States,1600000US0678582,0678582,United States - California - Thousand Oaks city,Thousand Oaks city,0.6,0.5
